seller_id,entry_source_em,profit_estimate,value_em,fees_paid,membership_paid
30465148,,7.85,0,10.74,0
30465347,,0,0,0,0
30465452,,0,0,0,0
30466954,,-0.04,0,0,0
30468156,,17.27,0,14.71,0
30468298,,7.01,0,7.01,0
30469390,,0,0,0,0
30469465,,-0.02,0,0,0
30473348,,1.44,0,7.65,0
30473499,,0,0,0,0
30473765,,0,0,0,0
30473950,,33.8,0,7.2,40
30474419,,6.64,0,3.55,0
30475269,,226.35,0,275.78,0
30475525,,139.13,1,181.86,0
30475534,,153.08,1,114.79,290
30475611,,0,0,0,0
30475885,-1,27.73,0,29.75,0
30478905,,-21.51,0,0,0
30480312,,137.43,0,0,140
30480782,,-2.1,0,0,0
30482069,,0,0,0,0
30482286,,7.07,0,10.89,0
30482635,,19.88,0,0,20
30482727,,0,0,0,0
34298327,6,222.9,3,66.78,200
30483793,,0,0,0,0
30484409,,-0.03,0,0,0
30484424,,0,0,0,0
30485977,,12.93,0,12.46,0
30486412,,61.01,1,282.77,0
30486935,,0,0,0,0
30486953,,12.9,0,8.55,0
30488404,,114.33,1,141.59,40
30488900,,-0.07,0,0,0
30489980,,-0.07,0,0,0
30490513,,8.3,0,3.52,0
30490605,,-0.01,0,0,0
30491270,,0,0,0,0
30491607,,8.66,0,10.8,0
30492462,,-1.16,0,0,0
30493011,,458.18,1,117.91,400
