seller_id,offers,amount,order_value,sum_fvf,order_fvf_value
1191314,1,35.00,35.00,1.23,1.23
1191822,1,44.99,44.99,5.85,5.85
1193587,1,5.99,5.99,0.50,0.50
1196387,1,23.47,23.47,2.11,2.11
1199767,1,25.95,25.95,2.34,2.34
1201868,9,325.84,36.20,27.09,3.01
1206314,3,155.92,51.97,8.58,2.86
1208418,3,301.89,100.63,9.97,3.32
1209266,1,934.10,934.10,70.59,70.59
1210375,4,308.84,77.21,35.34,8.84
1210506,3,87.03,29.01,4.47,1.49
1225954,3,144.27,48.09,17.46,5.82
1232746,3,193.92,64.64,8.45,2.82
1232780,12,1724.84,143.74,186.28,15.52
1243682,1,13.99,13.99,1.26,1.26
1246501,2,126.14,63.07,14.70,7.35
1246949,21,1272.99,60.62,123.67,5.89
1249284,17,279.23,16.43,12.78,0.75
1249312,3,75.00,25.00,14.25,4.75
1251437,1,19.27,19.27,1.47,1.47
1257757,42,6567.16,156.36,358.15,8.53
1260528,8,200.67,25.08,16.11,2.01
1264749,1,71.17,71.17,5.13,5.13
1267354,17,2242.30,131.90,178.23,10.48
1267913,1,13.99,13.99,1.26,1.26
1278932,5,8155.93,1631.19,119.70,23.94
1287072,1,22.52,22.52,2.96,2.96
1287486,5,71.21,14.24,4.80,0.96
