id,sold_on,purchased_at
60910003,4/17/19 15:09,4/18/19 7:56
60909871,4/17/19 15:10,4/20/19 18:41
60910028,4/17/19 15:13,4/21/19 11:45
60910097,4/17/19 15:15,4/18/19 5:59
60910109,4/17/19 15:15,4/22/19 14:44
60909158,4/17/19 15:18,4/21/19 11:43
60910261,4/17/19 15:27,
60910302,4/17/19 15:29,
60910307,4/17/19 15:33,
60910330,4/17/19 15:33,
60910474,4/17/19 15:45,
60910608,4/17/19 15:58,
60909666,4/17/19 15:59,
60910696,4/17/19 16:05,4/18/19 8:47
60910664,4/17/19 16:07,4/17/19 23:23
60910340,4/17/19 16:08,4/18/19 8:00
60910712,4/17/19 16:12,4/18/19 10:54
60910838,4/17/19 16:13,4/18/19 14:14
60910815,4/17/19 16:16,4/18/19 8:12
60911003,4/17/19 16:29,4/26/19 11:12
60911053,4/17/19 16:33,4/18/19 8:43
60910145,4/17/19 16:41,4/21/19 11:35
60910351,4/17/19 16:43,4/18/19 14:23
60911216,4/17/19 16:43,4/18/19 7:34
60911208,4/17/19 16:43,
60911254,4/17/19 16:47,4/17/19 18:50
60911248,4/17/19 16:49,4/17/19 21:44
60911264,4/17/19 16:50,
60911255,4/17/19 16:50,
60911029,4/17/19 16:51,4/23/19 9:26
60911029,4/17/19 16:51,
60911029,4/17/19 16:51,
60911029,4/17/19 16:51,
60911311,4/17/19 16:51,4/18/19 13:54
60911237,4/17/19 16:53,4/18/19 11:10
60897337,4/17/19 16:55,4/18/19 15:02
60911386,4/17/19 16:58,4/18/19 9:09
60911480,4/17/19 17:04,4/20/19 18:39
60911441,4/17/19 17:06,4/18/19 12:14
60907125,4/17/19 17:11,4/18/19 8:16
60911549,4/17/19 17:15,4/17/19 20:45
60911655,4/17/19 17:23,
60911706,4/17/19 17:23,4/17/19 18:46
60911792,4/17/19 17:31,4/26/19 11:13
60911693,4/17/19 17:32,4/21/19 11:34
60911971,4/17/19 17:43,4/26/19 12:18
60911940,4/17/19 17:44,
60911643,4/17/19 17:46,4/18/19 2:33
60911973,4/17/19 17:47,4/18/19 14:57
60911834,4/17/19 17:52,4/18/19 16:21
60912076,4/17/19 17:56,4/17/19 23:54
60912102,4/17/19 18:00,4/19/19 2:26
60860589,4/17/19 18:01,4/23/19 13:16
60912261,4/17/19 18:04,
60905840,4/17/19 18:05,4/18/19 0:38
60912203,4/17/19 18:06,4/18/19 21:30
60912380,4/17/19 18:15,4/29/19 6:49
60912329,4/17/19 18:20,4/18/19 6:20
60912451,4/17/19 18:21,
60912451,4/17/19 18:21,
60912451,4/17/19 18:21,
60912451,4/17/19 18:21,
60912399,4/17/19 18:22,4/18/19 8:01
60912477,4/17/19 18:24,4/17/19 21:56
60912408,4/17/19 18:24,
60912515,4/17/19 18:25,
60912487,4/17/19 18:31,4/18/19 6:18
60909931,4/17/19 18:32,4/18/19 8:03
60912530,4/17/19 18:32,4/18/19 8:22
60912601,4/17/19 18:33,
60912358,4/17/19 18:38,
60912695,4/17/19 18:43,4/18/19 16:01
60912735,4/17/19 18:47,
60913002,4/17/19 19:06,4/18/19 3:09
60913077,4/17/19 19:09,4/24/19 8:58
60912924,4/17/19 19:11,4/18/19 6:40
60913118,4/17/19 19:11,
60913129,4/17/19 19:13,
60913180,4/17/19 19:16,4/18/19 5:16
60913017,4/17/19 19:16,4/18/19 19:00
60913190,4/17/19 19:18,4/22/19 6:36
60913246,4/17/19 19:19,4/22/19 14:14
60913212,4/17/19 19:22,4/18/19 10:55
60913309,4/17/19 19:31,4/18/19 12:17
60913435,4/17/19 19:37,4/18/19 6:21
60913410,4/17/19 19:38,4/18/19 6:26
60913517,4/17/19 19:43,4/17/19 20:49
60911833,4/17/19 19:47,4/20/19 6:55
60913606,4/17/19 19:49,4/19/19 10:09
60913606,4/17/19 19:49,
60913606,4/17/19 19:49,
60913698,4/17/19 19:57,4/18/19 13:16
60913616,4/17/19 20:05,
60913829,4/17/19 20:07,4/18/19 13:18
60913941,4/17/19 20:14,4/18/19 8:25
60914048,4/17/19 20:23,4/18/19 9:27
60913956,4/17/19 20:28,4/20/19 6:47
60914100,4/17/19 20:28,4/17/19 23:20
60914184,4/17/19 20:38,
60914211,4/17/19 20:39,4/17/19 21:45
60914294,4/17/19 20:40,4/18/19 8:14
60914339,4/17/19 20:41,
60914293,4/17/19 20:44,
60914632,4/17/19 20:51,
60914567,4/17/19 21:01,4/20/19 22:50
60877324,4/17/19 21:07,4/19/19 8:10
60915086,4/17/19 21:14,4/18/19 21:38
60915064,4/17/19 21:21,4/18/19 5:00
60915161,4/17/19 21:24,
60915067,4/17/19 21:39,4/18/19 10:31
60915334,4/17/19 21:41,
60915464,4/17/19 21:53,
60915371,4/17/19 21:57,
60915622,4/17/19 22:08,
60915598,4/17/19 22:10,
60915904,4/17/19 22:33,
60916160,4/17/19 22:49,
60916350,4/17/19 23:05,4/18/19 8:57
60916736,4/17/19 23:40,4/18/19 13:14
60916933,4/18/19 0:00,
60916933,4/18/19 0:00,
60916933,4/18/19 0:00,
60916933,4/18/19 0:00,
60915508,4/18/19 0:04,4/18/19 19:06
60916489,4/18/19 0:04,4/19/19 15:03
60917151,4/18/19 0:29,
60917457,4/18/19 1:08,4/24/19 7:59
60917693,4/18/19 1:41,4/22/19 7:47
60917658,4/18/19 1:41,4/18/19 14:50
60917672,4/18/19 1:42,
60917654,4/18/19 2:27,4/18/19 5:11
60918066,4/18/19 2:34,4/18/19 8:56
60912044,4/18/19 2:40,4/18/19 7:44
60918112,4/18/19 2:50,4/19/19 9:03
60905110,4/18/19 3:13,4/18/19 10:30
60918548,4/18/19 3:45,
60918814,4/18/19 4:28,4/18/19 8:11
60886898,4/18/19 4:38,
60919063,4/18/19 4:52,4/18/19 8:18
60918991,4/18/19 4:57,4/19/19 22:25
60919331,4/18/19 5:24,4/18/19 6:15
60919320,4/18/19 5:27,4/18/19 6:22
60919346,4/18/19 5:27,
60919385,4/18/19 5:28,4/18/19 8:47
60919202,4/18/19 5:38,4/19/19 4:00
60919493,4/18/19 5:41,4/18/19 8:24
60919678,4/18/19 5:56,
60919702,4/18/19 6:02,4/22/19 15:28
60919806,4/18/19 6:08,4/18/19 9:56
60904348,4/18/19 6:18,4/19/19 7:40
60919869,4/18/19 6:19,4/18/19 9:40
60919934,4/18/19 6:24,4/22/19 15:02
60920046,4/18/19 6:31,4/18/19 13:03
60919775,4/18/19 6:36,4/19/19 0:30
60920117,4/18/19 6:40,
60910926,4/18/19 6:47,
