seller_id,committed,item_count,booth_id,initial_booth_activation,entry_source_em,inventory_source_em,parent_booth_id,entry_url,entry_query,fees_paid,membership_paid,profit_estimate,value_em
36423179,FALSE,0,4742227,12/17/18,unknown,1,,,,0,80,80,0
36423281,TRUE,0,4742233,12/21/18,organic,1,,https://www.google.com/,,3.27,0,-1.52,0
36423314,FALSE,0,4742234,12/20/18,organic,,,https://www.google.com/,,0,0,0,0
36424217,FALSE,0,4742313,1/9/19,google_text_ad,5,,https://www.google.com/,,0,0,0,0
36424159,TRUE,9,4742316,1/1/19,unknown,1,,,,0,0,-0.14,0
36386580,TRUE,130,4742357,12/17/18,unknown,1,,,,4.46,0,-3.33,0
35088612,TRUE,2,4742381,12/17/18,unknown,6,,,,0,0,-0.03,0
36425013,FALSE,0,4742387,12/17/18,direct,,,Direct,,52.42,0,49.56,1
36425406,TRUE,0,4742419,12/17/18,organic,,,https://www.google.co.uk/,,0,0,0,0
36425414,FALSE,0,4742421,12/17/18,direct,1,,Direct,,0,0,-2.5,0
36425506,TRUE,0,4742428,12/17/18,search_seller_targeted,3,,https://www.google.com/,,0,0,-0.8,0
36425627,TRUE,0,4742441,12/17/18,direct,,,Direct,,0,0,0,0
36425745,TRUE,20,4742458,12/20/18,organic,,,https://www.google.com/,,0,0,-0.04,0
36426035,TRUE,1,4742473,12/17/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
36425926,TRUE,1,4742499,12/25/18,unknown,,,,,0,0,0,0
36427233,TRUE,2,4742568,12/17/18,direct,,,Direct,,0,0,0,0
36427420,TRUE,4,4742592,12/17/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
36427837,TRUE,0,4742631,12/20/18,organic,1,,https://www.google.com/,,0,0,0,0
36427737,FALSE,0,4742637,12/17/18,organic,,,Direct,,30.39,0,23.73,0
36428090,TRUE,0,4742665,12/17/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
36427641,TRUE,0,4742675,12/17/18,organic,3,,https://www.google.co.uk/,,0,0,0,0
36428481,TRUE,0,4742702,12/17/18,unknown,,,,,0,0,0,0
36428676,FALSE,0,4742717,12/17/18,organic,,,https://www.google.com/,,0,0,0,0
36429158,TRUE,0,4742751,12/17/18,unknown,1,,,,0,0,0,0
36429272,TRUE,2,4742762,12/17/18,unknown,,,,,0,0,0,0
36429458,FALSE,0,4742787,12/17/18,organic,,,https://www.google.com/,,0,0,-0.45,0
36429665,FALSE,0,4742833,12/17/18,unknown,,,,,0,0,0,0
36429746,TRUE,0,4742842,12/17/18,unknown,,,,,0,0,0,0
36429812,TRUE,0,4742851,12/17/18,unknown,,,,,0,0,0,0
36429880,TRUE,82,4742859,12/20/18,other,4,,https://apps.cedcommerce.com/marketplace-integration/bonanza/bonanza-install/index,,0,0,-0.05,0
36430649,FALSE,0,4742925,12/18/18,unknown,,,,,0,0,-27.63,0
36430927,FALSE,0,4742940,12/17/18,unknown,,,,,0,0,0,0
36430963,TRUE,0,4742941,12/19/18,direct,3,,Direct,,11.34,0,1.85,1
36430598,TRUE,100,4742948,12/17/18,bing,1,,https://www.bing.com/search?q=bonanza+selling+site&form=EDGTCT&qs=SC&cvid=dab718ef66334e398be883d133c29d3b&refig=43aca50f9bdb4a5ac3e17bd1d976c362&cc=US&setlang=en-US,,0,0,-0.15,0
36431275,FALSE,0,4742974,1/8/19,bing,,,https://www.bing.com/search?q=bonanza&src=IE-SearchBox&FORM=IESR3A,,0,0,0,0
36431322,TRUE,0,4742976,12/17/18,direct,,,Direct,,0,0,0,0
36431404,TRUE,0,4742981,12/17/18,organic,1,,Direct,,13.89,0,-23.2,0
36431743,TRUE,3,4743006,12/17/18,direct,,,Direct,,13.57,0,10.17,0
36431739,FALSE,0,4743011,12/17/18,affiliate,,,Direct,,0,0,0,0
36432043,TRUE,0,4743032,12/17/18,direct,1,,Direct,,0,0,0,0
36432309,TRUE,0,4743059,12/17/18,google_shopping,,,Direct,,0,0,0,0
36278706,TRUE,1,4743061,12/17/18,organic,,,https://www.google.com/,,0,0,-2.77,0
36432655,TRUE,223,4743082,12/22/18,direct,2,,Direct,,73.2,0,66.92,0
36432898,FALSE,0,4743112,12/17/18,other,1,,http://www.cifnews.com/article/31544,,0,0,-0.21,0
36432921,TRUE,25,4743115,12/17/18,direct,2,,Direct,,0,0,-0.08,0
36433020,TRUE,473,4743119,12/17/18,organic,1,,https://www.google.com/,,0,0,-1.92,0
36433029,TRUE,2,4743120,12/17/18,organic,2,,https://www.google.com/,,0,0,0,0
36433092,TRUE,0,4743125,12/17/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
36433101,TRUE,0,4743126,12/18/18,unknown,1,,,,17.52,0,11,1
36433332,TRUE,23,4743142,12/17/18,direct,,,Direct,,44.28,0,44.03,0
36433386,FALSE,0,4743148,12/24/18,unknown,,,,,0,0,0,0
36433542,TRUE,0,4743163,12/17/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
36433602,TRUE,0,4743169,12/17/18,organic,,,https://www.practicalecommerce.com/ecommerce-marketplaces-worldwide,,0,0,0,0
36433689,TRUE,3,4743172,12/17/18,organic,6,,https://www.google.com/,,0,0,0,0
4786903,TRUE,11,4743194,12/17/18,organic,1,,https://www.google.com/,,0,0,-0.98,0
36434113,TRUE,110,4743211,12/17/18,direct,4,,Direct,,327.44,0,273.67,2
36434128,TRUE,1,4743215,12/17/18,unknown,,,,,0,0,0,0
36434132,TRUE,3,4743217,12/17/18,direct,,,Direct,,0.9,0,-33.99,0
36434475,TRUE,3,4743238,12/17/18,unknown,,,,,0,0,0,0
36434535,TRUE,3,4743245,12/18/18,unknown,6,,,,0,0,-0.09,0
36434587,TRUE,79,4743247,12/17/18,unknown,,,,,0,0,-0.06,0
36434703,TRUE,46,4743259,12/17/18,google_text_ad,,,https://www.google.com/,,33.75,0,4.83,1
36434874,TRUE,30,4743274,12/17/18,organic,3,,https://www.google.com/,,0,0,0,0
36434871,TRUE,2,4743276,12/17/18,unknown,6,,,,0,40,39.95,0
36435088,FALSE,0,4743289,12/17/18,other_search,5,,https://r.search.yahoo.com/_ylt=AwrDQrzWThhcHvgAhi4PxQt.;_ylu=X3oDMTByOHZyb21tBGNvbG8DYmYxBHBvcwMxBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1545125719/RO=10/RU=https%3a%2f%2fwww.bonanza.com%2f/RK=2/RS=sPlTes18vOk08m7SHL5QWbxs2L8-,,0,0,-0.5,0
36435145,TRUE,0,4743294,12/17/18,organic,1,,https://www.google.com/,,0,0,-0.07,0
36435147,FALSE,0,4743295,12/17/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
36435388,TRUE,0,4743312,12/17/18,direct,,,Direct,,0,0,0,0
36435545,TRUE,23,4743322,12/17/18,search_seller_targeted,1,,https://www.google.com/,,0,0,-0.01,0
36435635,FALSE,0,4743328,12/17/18,direct,,,Direct,,0,0,-1.95,0
36435671,TRUE,1,4743336,12/17/18,google_shopping,5,,https://www.google.com/,,0,0,0,0
36435885,FALSE,0,4743351,12/17/18,direct,,,https://www.google.com/,,0,0,0,0
36436173,TRUE,0,4743373,12/17/18,organic,,,https://www.google.com/,,0,0,0,0
36436363,FALSE,0,4743375,12/17/18,organic,3,,https://www.google.com/,,0,0,-1.59,1
